ChargeCategory,ContractId,PricingCurrency,PricingCurrencyCategory,PricingRegionId,PricingServiceName,PricingUnit,PurchaseDurationType,PurchasePaymentModel,QuantityTierMaximum,QuantityTierMinimum,ServiceProviderName,SkuId,SkuPriceCreated,SkuPriceDescription,SkuPriceEffectiveEnd,SkuPriceEffectiveStart,SkuPriceEligibility,SkuPriceId,SkuPriceLastUpdated,UnitPrice,x_EffectiveUnitPrice
Usage,,USD,Payable,us-east-1,Aura Web Compute,Hours,,,,0,Aura Web,AURAWEB-COMPUTE-VM-STD-8X32,2025-06-15T09:12:00Z,"Standard VM 8 vCPU 32 GB, Linux, on-demand",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-USEAST1-COMPUTE-ONDEMAND-STANDARD,2025-12-18T16:40:00Z,0.384000,0.384000
Usage,,USD,Payable,us-east-1,Aura Web Compute,Hours,,,,0,Aura Web,AURAWEB-COMPUTE-VM-STD-8X32,2025-06-15T09:12:00Z,"Standard VM 8 vCPU 32 GB, Linux, on-demand",2026-01-01T00:00:00Z,2025-07-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-USEAST1-COMPUTE-ONDEMAND-STANDARD,2025-12-18T16:40:00Z,0.400000,
Usage,,EUR,Payable,us-east-1,Aura Web Compute,Hours,,,,0,Aura Web,AURAWEB-COMPUTE-VM-STD-8X32,2025-06-15T09:12:00Z,"Standard VM 8 vCPU 32 GB, Linux, on-demand",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-USEAST1-COMPUTE-ONDEMAND-STANDARD,2025-12-18T16:40:00Z,0.352000,
Usage,auraweb:contract::ACCT-123456789012:agreements/ctr-7f3a91b2c4d5,USD,Payable,us-east-1,Aura Web Compute,Hours,,,,0,Aura Web,AURAWEB-COMPUTE-VM-STD-8X32,2026-01-05T11:03:00Z,"Standard VM 8 vCPU 32 GB, Linux, negotiated rate",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":false,""InclusionOperator"":""Or"",""Inclusions"":[{""Dimension"":""BillingAccountId"",""Operator"":""In"",""Values"":[""ACCT-123456789012"",""ACCT-210987654321""]}]}",AURAWEB-USEAST1-COMPUTE-ONDEMAND-STANDARD,2026-01-05T11:03:00Z,0.326400,
Usage,,USD,Payable,us-east-1,Aura Web Compute,Hours,,,,0,Aura Web,AURAWEB-COMPUTE-VM-STD-8X32,2025-12-18T16:40:00Z,"Standard VM 8 vCPU 32 GB, Linux covered by 1-year All Upfront reservation",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-COMPUTE-VM-STD-8X32-AURAWEB-COMPUTE-RESERVATION-VM-STD-1YR-ALL-UPFRONT,2025-12-18T16:40:00Z,0.384000,0.216164
Usage,,USD,Payable,us-east-1,Aura Web Compute,Hours,,,,0,Aura Web,AURAWEB-COMPUTE-VM-STD-8X32,2025-12-18T16:40:00Z,"Standard VM 8 vCPU 32 GB, Linux covered by 1-year Partial Upfront reservation",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-COMPUTE-VM-STD-8X32-AURAWEB-COMPUTE-RESERVATION-VM-STD-1YR-PARTIAL-UPFRONT,2025-12-18T16:40:00Z,0.384000,0.228174
Usage,,USD,Payable,us-east-1,Aura Web Compute,Hours,,,,0,Aura Web,AURAWEB-COMPUTE-VM-STD-8X32,2025-12-18T16:40:00Z,"Standard VM 8 vCPU 32 GB, Linux covered by 1-year No Upfront reservation",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-COMPUTE-VM-STD-8X32-AURAWEB-COMPUTE-RESERVATION-VM-STD-1YR-NO-UPFRONT,2025-12-18T16:40:00Z,0.384000,0.240183
Usage,,USD,Payable,us-east-1,Aura Web Compute,Hours,,,,0,Aura Web,AURAWEB-COMPUTE-VM-STD-8X32,2025-12-18T16:40:00Z,"Standard VM 8 vCPU 32 GB, Linux covered by 1-year All Upfront flexible spend plan",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-COMPUTE-VM-STD-8X32-AURAWEB-COMMITMENT-FLEXSPEND-1YR-ALL-UPFRONT,2025-12-18T16:40:00Z,0.384000,0.259200
Usage,,USD,Payable,us-east-1,Aura Web Compute,Hours,,,,0,Aura Web,AURAWEB-COMPUTE-VM-STD-8X32,2025-12-18T16:40:00Z,"Standard VM 8 vCPU 32 GB, Linux covered by 1-year Partial Upfront flexible spend plan",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-COMPUTE-VM-STD-8X32-AURAWEB-COMMITMENT-FLEXSPEND-1YR-PARTIAL-UPFRONT,2025-12-18T16:40:00Z,0.384000,0.273600
Usage,,USD,Payable,us-east-1,Aura Web Compute,Hours,,,,0,Aura Web,AURAWEB-COMPUTE-VM-STD-8X32,2025-12-18T16:40:00Z,"Standard VM 8 vCPU 32 GB, Linux covered by 1-year No Upfront flexible spend plan",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-COMPUTE-VM-STD-8X32-AURAWEB-COMMITMENT-FLEXSPEND-1YR-NO-UPFRONT,2025-12-18T16:40:00Z,0.384000,0.288000
